Ridgerunner 2.3.1
Built Sep 13 2026, 00:43:43.
plCurve Version: 10.1.0
Octrope Version: 10.1.0
tsnnls Version: 2.5.1
Seeded from dev/random with seed -1536993344.
Loaded 12 component, 576 vertex plCurve from seed3141.vect.
Saved copy of seed3141.vect to ./seed3141.rr/seed3141.vect.
Curve has thickness 0.490363. Scaling to thickness 0.501.
Scaled curve has thickness 0.501.
 Autoscale selftest ok.
Rerez'd, autoscaled, eq'd file written to ./seed3141.rr/seed3141.atstart.vect.
Overstep tolerance: 0.000100 of thickness 0.500000 (0.499950) minminrad: 0.49997500
ridgerunner: Curses screen display disabled, using stdout.
             Define CURSES_DISPLAY to enable better screen display.
ridgerunner: Starting run. Will stop if 
               step number >= 300 
               residual < 0 
               ropelength decrease over last 20 steps < -1000.

 111 Rop: 753.05342248470 Str:   6 MRstruts:   0 Thi: 0.5000000 
 112 Rop: 752.93230495381 Str:   8 MRstruts:   0 Thi: 0.4999993 
 113 Rop: 752.84120532175 Str:  10 MRstruts:   0 Thi: 0.4999986 
 114 Rop: 752.81931621556 Str:  12 MRstruts:   0 Thi: 0.4999985 
 115 Rop: 752.79046409096 Str:  14 MRstruts:   0 Thi: 0.4999985 
 116 Rop: 752.78247847154 Str:  16 MRstruts:   0 Thi: 0.4999985 
 117 Rop: 752.75828743119 Str:  18 MRstruts:   0 Thi: 0.4999985 
 118 Rop: 752.75327189425 Str:  20 MRstruts:   0 Thi: 0.4999985 
 119 Rop: 752.74160924446 Str:  22 MRstruts:   0 Thi: 0.4999985 
 120 Rop: 752.73236881202 Str:  26 MRstruts:   0 Thi: 0.4999985 
 121 Rop: 752.71798997918 Str:  28 MRstruts:   0 Thi: 0.4999985 
 122 Rop: 752.70324880418 Str:  30 MRstruts:   0 Thi: 0.4999984 
 123 Rop: 752.66643197891 Str:  32 MRstruts:   0 Thi: 0.4999984 
 124 Rop: 752.64199195005 Str:  34 MRstruts:   0 Thi: 0.4999983 
 125 Rop: 752.63793780401 Str:  36 MRstruts:   0 Thi: 0.4999983 
 126 Rop: 752.62752508639 Str:  38 MRstruts:   0 Thi: 0.4999983 
 127 Rop: 752.62253107815 Str:  40 MRstruts:   0 Thi: 0.4999982 
 128 Rop: 752.59706077110 Str:  42 MRstruts:   0 Thi: 0.4999981 
 129 Rop: 752.58367923766 Str:  44 MRstruts:   0 Thi: 0.4999981 
 130 Rop: 752.53886055982 Str:  46 MRstruts:   0 Thi: 0.4999981 
 131 Rop: 752.43037355239 Str:  48 MRstruts:   0 Thi: 0.4999975 
 132 Rop: 752.36831239874 Str:  54 MRstruts:   0 Thi: 0.4999955 
 133 Rop: 752.25833638826 Str:  64 MRstruts:   0 Thi: 0.4998649 
 134 Rop: 752.25835006986 Str:   2 MRstruts:   0 Thi: 0.5000000 
 135 Rop: 752.19851739233 Str:   4 MRstruts:   0 Thi: 0.4999997 
 136 Rop: 752.19757078112 Str:   6 MRstruts:   0 Thi: 0.4999997 
 137 Rop: 752.19617935333 Str:   8 MRstruts:   0 Thi: 0.4999997 
 138 Rop: 752.19513281160 Str:  10 MRstruts:   0 Thi: 0.4999997 
 139 Rop: 752.19169805893 Str:  12 MRstruts:   0 Thi: 0.4999997 
 140 Rop: 752.19135213151 Str:  14 MRstruts:   0 Thi: 0.4999997 
 141 Rop: 752.18851165838 Str:  16 MRstruts:   0 Thi: 0.4999997 
 142 Rop: 752.18699208400 Str:  18 MRstruts:   0 Thi: 0.4999997 
 143 Rop: 752.18505710551 Str:  20 MRstruts:   0 Thi: 0.4999997 
 144 Rop: 752.18020523595 Str:  22 MRstruts:   0 Thi: 0.4999997 
 145 Rop: 752.17935112902 Str:  24 MRstruts:   0 Thi: 0.4999997 
 146 Rop: 752.17797715395 Str:  26 MRstruts:   0 Thi: 0.4999997 
 147 Rop: 752.17643904511 Str:  28 MRstruts:   0 Thi: 0.4999997 
 148 Rop: 752.17561422542 Str:  30 MRstruts:   0 Thi: 0.4999997 
 149 Rop: 752.17517363237 Str:  32 MRstruts:   0 Thi: 0.4999997 
 150 Rop: 752.17039152076 Str:  34 MRstruts:   0 Thi: 0.4999997 
 151 Rop: 752.16776484730 Str:  36 MRstruts:   0 Thi: 0.4999996 
 152 Rop: 752.16677100016 Str:  38 MRstruts:   0 Thi: 0.4999996 
 153 Rop: 752.15888961749 Str:  44 MRstruts:   0 Thi: 0.4999984 
 154 Rop: 752.15483603336 Str:  48 MRstruts:   0 Thi: 0.4999982 
 155 Rop: 752.14855815449 Str:  50 MRstruts:   0 Thi: 0.4999982 
 156 Rop: 752.14624129393 Str:  54 MRstruts:   0 Thi: 0.4999982 
 157 Rop: 752.13973347524 Str:  56 MRstruts:   0 Thi: 0.4999982 
 158 Rop: 752.11836778112 Str:  60 MRstruts:   0 Thi: 0.4999980 
 159 Rop: 752.10705074091 Str:  62 MRstruts:   0 Thi: 0.4999980 
 160 Rop: 751.82415424821 Str:  76 MRstruts:   0 Thi: 0.4994407 
 161 Rop: 751.82415555277 Str:   2 MRstruts:   0 Thi: 0.5000000 
 162 Rop: 751.82291580083 Str:   4 MRstruts:   0 Thi: 0.5000000 
 163 Rop: 751.66357319623 Str:   6 MRstruts:   0 Thi: 0.4999985 
 164 Rop: 751.57961816422 Str:   8 MRstruts:   0 Thi: 0.4999985 
 165 Rop: 751.57811768552 Str:  10 MRstruts:   0 Thi: 0.4999985 
 166 Rop: 751.56884829381 Str:  16 MRstruts:   0 Thi: 0.4999985 
 167 Rop: 751.55916513808 Str:  18 MRstruts:   0 Thi: 0.4999985 
 168 Rop: 751.54662154929 Str:  20 MRstruts:   0 Thi: 0.4999984 
 169 Rop: 751.54418526940 Str:  22 MRstruts:   0 Thi: 0.4999984 
 170 Rop: 751.52449796871 Str:  24 MRstruts:   0 Thi: 0.4999983 
 171 Rop: 751.51590734860 Str:  26 MRstruts:   0 Thi: 0.4999983 
 172 Rop: 751.50735609539 Str:  28 MRstruts:   0 Thi: 0.4999982 
 173 Rop: 751.49666840888 Str:  30 MRstruts:   0 Thi: 0.4999982 
 174 Rop: 751.48697524468 Str:  32 MRstruts:   0 Thi: 0.4999982 
 175 Rop: 751.47181646274 Str:  34 MRstruts:   0 Thi: 0.4999982 
 176 Rop: 751.46553115307 Str:  36 MRstruts:   0 Thi: 0.4999982 
 177 Rop: 751.46209960971 Str:  38 MRstruts:   0 Thi: 0.4999981 
 178 Rop: 751.45992823564 Str:  40 MRstruts:   0 Thi: 0.4999981 
 179 Rop: 751.45688190123 Str:  42 MRstruts:   0 Thi: 0.4999981 
 180 Rop: 751.43968531018 Str:  44 MRstruts:   0 Thi: 0.4999981 
 181 Rop: 751.43589897709 Str:  46 MRstruts:   0 Thi: 0.4999981 
 182 Rop: 751.42944814160 Str:  48 MRstruts:   0 Thi: 0.4999981 
 183 Rop: 751.41987869141 Str:  50 MRstruts:   0 Thi: 0.4999981 
 184 Rop: 751.41772103915 Str:  52 MRstruts:   0 Thi: 0.4999981 
 185 Rop: 751.40685808069 Str:  54 MRstruts:   0 Thi: 0.4999981 
 186 Rop: 751.35119156883 Str:  58 MRstruts:   0 Thi: 0.4999885 
 187 Rop: 751.34263106508 Str:  60 MRstruts:   0 Thi: 0.4999884 
 188 Rop: 751.32461482919 Str:  62 MRstruts:   0 Thi: 0.4999883 
 189 Rop: 751.14818714460 Str:  68 MRstruts:   0 Thi: 0.4999846 
 190 Rop: 750.76370461769 Str:  98 MRstruts:   0 Thi: 0.4990171 
 191 Rop: 750.76370666532 Str:   2 MRstruts:   0 Thi: 0.5000000 
 192 Rop: 750.48982486629 Str:  10 MRstruts:   0 Thi: 0.4998956 
 193 Rop: 750.48983698312 Str:   2 MRstruts:   0 Thi: 0.5000000 
 194 Rop: 750.48963955062 Str:   4 MRstruts:   0 Thi: 0.5000000 
 195 Rop: 750.42409444699 Str:   4 MRstruts:   0 Thi: 0.4999999 
 196 Rop: 750.42395713780 Str:   6 MRstruts:   0 Thi: 0.4999999 
 197 Rop: 750.41687456988 Str:   8 MRstruts:   0 Thi: 0.4999999 
 198 Rop: 750.41416188012 Str:  10 MRstruts:   0 Thi: 0.4999999 
 199 Rop: 750.40891547187 Str:  12 MRstruts:   0 Thi: 0.4999999 
 200 Rop: 750.40176080104 Str:  14 MRstruts:   0 Thi: 0.4999999 
 201 Rop: 750.40103214469 Str:  16 MRstruts:   0 Thi: 0.4999999 
 202 Rop: 750.37825046222 Str:  18 MRstruts:   0 Thi: 0.4999999 
 203 Rop: 750.37544675324 Str:  20 MRstruts:   0 Thi: 0.4999999 
 204 Rop: 750.35539128038 Str:  21 MRstruts:   0 Thi: 0.4999999 
 205 Rop: 750.35372792520 Str:  23 MRstruts:   0 Thi: 0.4999999 
 206 Rop: 750.33894826115 Str:  24 MRstruts:   0 Thi: 0.4999999 
 207 Rop: 750.31749442218 Str:  26 MRstruts:   0 Thi: 0.4999997 
 208 Rop: 750.27653473388 Str:  28 MRstruts:   0 Thi: 0.4999995 
 209 Rop: 750.26876855262 Str:  29 MRstruts:   0 Thi: 0.4999995 
 210 Rop: 750.26123081515 Str:  30 MRstruts:   0 Thi: 0.4999995 
 211 Rop: 750.25197190145 Str:  33 MRstruts:   0 Thi: 0.4999992 
 212 Rop: 750.24913420702 Str:  36 MRstruts:   0 Thi: 0.4999992 
 213 Rop: 750.24726748712 Str:  37 MRstruts:   0 Thi: 0.4999991 
 214 Rop: 750.24415845971 Str:  39 MRstruts:   0 Thi: 0.4999991 
 215 Rop: 750.24200530278 Str:  40 MRstruts:   0 Thi: 0.4999991 
 216 Rop: 750.24035057429 Str:  41 MRstruts:   0 Thi: 0.4999991 
 217 Rop: 750.23690079779 Str:  42 MRstruts:   0 Thi: 0.4999991 
 218 Rop: 750.21586445576 Str:  48 MRstruts:   0 Thi: 0.4999929 
 219 Rop: 750.20562867124 Str:  52 MRstruts:   0 Thi: 0.4999928 
 220 Rop: 750.18550961297 Str:  54 MRstruts:   0 Thi: 0.4999928 
 221 Rop: 750.09912081713 Str:  58 MRstruts:   0 Thi: 0.4999922 
 222 Rop: 750.08782504090 Str:  60 MRstruts:   0 Thi: 0.4999921 
 223 Rop: 749.87532179444 Str:  62 MRstruts:   0 Thi: 0.4999833 
 224 Rop: 749.80572855404 Str:  65 MRstruts:   0 Thi: 0.4999674 
 225 Rop: 749.65972071289 Str:  71 MRstruts:   0 Thi: 0.4999618 
 226 Rop: 749.14623903279 Str: 101 MRstruts:   0 Thi: 0.4996387 
 227 Rop: 749.09214753522 Str:   2 MRstruts:   0 Thi: 0.4999998 
 228 Rop: 749.07316092053 Str:   3 MRstruts:   0 Thi: 0.4999997 
 229 Rop: 749.05349576665 Str:   4 MRstruts:   0 Thi: 0.4999997 
 230 Rop: 749.04075224830 Str:   5 MRstruts:   0 Thi: 0.4999997 
 231 Rop: 749.03885017801 Str:   6 MRstruts:   0 Thi: 0.4999997 
 232 Rop: 748.99796159460 Str:   7 MRstruts:   0 Thi: 0.4999995 
 233 Rop: 748.99302894002 Str:   8 MRstruts:   0 Thi: 0.4999995 
 234 Rop: 748.99234207211 Str:   9 MRstruts:   0 Thi: 0.4999995 
 235 Rop: 748.99184890528 Str:  10 MRstruts:   0 Thi: 0.4999995 
 236 Rop: 748.98943345464 Str:  11 MRstruts:   0 Thi: 0.4999994 
 237 Rop: 748.98535179462 Str:  13 MRstruts:   0 Thi: 0.4999994 
 238 Rop: 748.98307742704 Str:  14 MRstruts:   0 Thi: 0.4999994 
 239 Rop: 748.98202373895 Str:  15 MRstruts:   0 Thi: 0.4999994 
 240 Rop: 748.97668651664 Str:  16 MRstruts:   0 Thi: 0.4999994 
 241 Rop: 748.97549928611 Str:  17 MRstruts:   0 Thi: 0.4999994 
 242 Rop: 748.97130814880 Str:  19 MRstruts:   0 Thi: 0.4999994 
 243 Rop: 748.95359506385 Str:  22 MRstruts:   0 Thi: 0.4999959 
 244 Rop: 748.94658385989 Str:  25 MRstruts:   0 Thi: 0.4999959 
 245 Rop: 748.94422382622 Str:  30 MRstruts:   0 Thi: 0.4999959 
 246 Rop: 748.94195956057 Str:  32 MRstruts:   0 Thi: 0.4999959 
 247 Rop: 748.93550139946 Str:  36 MRstruts:   0 Thi: 0.4999959 
 248 Rop: 748.93183625146 Str:  39 MRstruts:   0 Thi: 0.4999959 
 249 Rop: 748.92538953464 Str:  41 MRstruts:   0 Thi: 0.4999959 
 250 Rop: 748.92069469175 Str:  46 MRstruts:   0 Thi: 0.4999959 
 251 Rop: 748.91178705102 Str:  47 MRstruts:   0 Thi: 0.4999959 
 252 Rop: 748.90728979100 Str:  51 MRstruts:   0 Thi: 0.4999959 
 253 Rop: 748.90388557767 Str:  52 MRstruts:   0 Thi: 0.4999959 
 254 Rop: 748.89472343139 Str:  55 MRstruts:   0 Thi: 0.4999958 
 255 Rop: 748.88395683878 Str:  56 MRstruts:   0 Thi: 0.4999958 
 256 Rop: 748.86874343784 Str:  57 MRstruts:   0 Thi: 0.4999958 
 257 Rop: 748.85669686189 Str:  61 MRstruts:   0 Thi: 0.4999855 
 258 Rop: 748.84715721183 Str:  62 MRstruts:   0 Thi: 0.4999855 
 259 Rop: 748.82234249423 Str:  66 MRstruts:   0 Thi: 0.4999853 
 260 Rop: 748.78874248236 Str:  69 MRstruts:   0 Thi: 0.4999810 
 261 Rop: 748.45933898196 Str: 109 MRstruts:   0 Thi: 0.4977223 
 262 Rop: 748.45658605833 Str:   3 MRstruts:   0 Thi: 0.4999940 
 263 Rop: 747.92161621618 Str:   4 MRstruts:   0 Thi: 0.4999642 
 264 Rop: 747.64625976846 Str:   5 MRstruts:   0 Thi: 0.4999574 
 265 Rop: 747.59280201164 Str:   7 MRstruts:   0 Thi: 0.4999570 
 266 Rop: 747.52885561409 Str:   8 MRstruts:   0 Thi: 0.4999569 
 267 Rop: 747.48181836953 Str:  11 MRstruts:   0 Thi: 0.4999568 
 268 Rop: 747.45617881954 Str:  15 MRstruts:   0 Thi: 0.4999568 
 269 Rop: 747.39948692063 Str:  20 MRstruts:   0 Thi: 0.4999563 
 270 Rop: 747.32207814271 Str:  26 MRstruts:   0 Thi: 0.4999552 
 271 Rop: 747.28244583948 Str:  28 MRstruts:   0 Thi: 0.4999549 
 272 Rop: 747.21614223222 Str:  33 MRstruts:   0 Thi: 0.4999545 
 273 Rop: 747.15838346513 Str:  35 MRstruts:   0 Thi: 0.4999540 
 274 Rop: 747.13072156094 Str:  39 MRstruts:   0 Thi: 0.4999539 
 275 Rop: 747.09984902888 Str:  44 MRstruts:   0 Thi: 0.4999537 
 276 Rop: 747.03452172829 Str:  46 MRstruts:   0 Thi: 0.4999525 
 277 Rop: 746.89457085413 Str:  51 MRstruts:   0 Thi: 0.4999471 
